stations;date_heure;temperature_air;temperature_eau;salinite_surface;salinite_milieu;salinite_fond
Sonde SA1;17/04/2024  11h00;12.8°C;15°C;21;21;21,1
Sonde SA3;17/04/2024  11h30;12.8°C;15,8°C;20,6;0,2;20,8
Sonde SA1;17/04/2024  12h00;13.2°C;15,1°C;21;21;21,1
Sonde SA3;17/04/2024  12h30;13.2°C;16,1°C;20,4;0,2;20,8
Sonde SA1;17/04/2024  13h00;13.6°C;15,1°C;21;21;21
Sonde SA3;17/04/2024  13h30;13.6°C;16,2°C;20,4;0,2;20,8
Sonde SA1;17/04/2024  14h00;14.2°C;15,2°C;21;21;21,1
Sonde SA3;17/04/2024  14h30;14.2°C;16,1°C;20,4;0,2;20,9
Sonde SA1;17/04/2024  15h00;14.3°C;15,2°C;21;21;21
Sonde SA3;17/04/2024  15h30;14.3°C;16°C;20,5;0,2;20,8
Sonde SA1;17/04/2024  16h00;14.8°C;15,3°C;21;21;21,1
Sonde SA3;17/04/2024  16h00;14.8°C;16°C;20,5;0,2;20,7
Sonde SA1;17/04/2024  17h00;14.9°C;15,3°C;21,1;21,1;21,1
Sonde SA3;17/04/2024  17h30;14.9°C;15,9°C;20,6;0,2;20,7
Sonde SA1;17/04/2024  18h00;14.9°C;15,3°C;21,1;21,1;21,1
Sonde SA3;17/04/2024  18h30;14.9°C;15,8°C;20,7;0,2;20,7
Sonde SA1;17/04/2024  19h00;14.2°C;15,2°C;21,1;21,1;21,2
Sonde SA3;17/04/2024  19h30;14.2°C;15,8°C;20,6;0,2;20,7
Sonde SA1;17/04/2024  20h00;13.5°C;15,2°C;21,1;21,2;21,2
Sonde SA3;17/04/2024  20h30;13.5°C;15,8°C;20,6;0,2;20,7
Sonde SA1;17/04/2024  21h00;13.1°C;15,2°C;21,1;21,1;21,2
Sonde SA3;17/04/2024  21h30;13.1°C;15,7°C;20,7;0,2;20,7
Sonde SA1;17/04/2024  22h00;12.5°C;15,2°C;21,1;21,1;21,2
Sonde SA3;17/04/2024  22h30;12.5°C;15,6°C;20,7;0,2;20,8
Sonde SA1;17/04/2024  23h00;12°C;15,2°C;21,1;21,1;21,1
Sonde SA3;17/04/2024  23h30;12°C;15,6°C;20,7;0,2;20,8
Sonde SA1;18/04/2024  01h00;11.2°C;15,1°C;21,1;21,1;21,1
Sonde SA3;18/04/2024  01h00;11.2°C;15,5°C;20,8;0,2;20,9
Sonde SA1;18/04/2024  03h00;11°C;14,9°C;21,1;21,1;21,2
Sonde SA3;18/04/2024  03h00;11°C;15,4°C;20,8;0,2;20,8
Sonde SA1;18/04/2024  04h00;11.2°C;14,9°C;21,1;21,1;21,1
Sonde SA3;18/04/2024  04h00;11.2°C;15,4°C;20,8;0,2;20,8
Sonde SA1;18/04/2024  05h00;10.4°C;14,8°C;21,1;21,1;21,1
Sonde SA3;18/04/2024  05h00;10.4°C;15,3°C;20,8;0,2;20,9
Sonde SA1;18/04/2024  06h00;9.9°C;14,8°C;21,1;21,1;21,1
Sonde SA3;18/04/2024  06h00;9.9°C;15,3°C;20,8;0,2;21,2
Sonde SA1;18/04/2024  07h00;9.5°C;14,8°C;21;21;21,1
Sonde SA3;18/04/2024  07h00;9.5°C;15,2°C;20,8;0,2;21,2
Sonde SA1;18/04/2024  08h00;9.8°C;14,9°C;21;21;21,1
Sonde SA3;18/04/2024  08h00;9.8°C;15,2°C;20,9;0,2;21,2
Sonde SA1;18/04/2024  09h00;10.1°C;14,9°C;21;21;21,1
Sonde SA3;18/04/2024  09h00;10.1°C;15,1°C;21;0,2;21,8
Sonde SA1;18/04/2024  10h00;10.6°C;14,9°C;21;21;21,1
Sonde SA3;18/04/2024  10h00;10.6°C;15°C;21,1;0,2;21,7
Sonde SA1;18/04/2024  11h00;11.1°C;14,8°C;21,1;21,1;21,1
Sonde SA3;18/04/2024  11h00;11.1°C;15°C;21,2;0,2;21,8
Sonde SA1;18/04/2024  12h00;11.4°C;14,8°C;21,1;21,1;21,2
Sonde SA3;18/04/2024  12h00;11.4°C;15°C;21,3;0,2;21,6
Sonde SA1;18/04/2024  13h00;11.9°C;14,7°C;21,2;21,2;21,3
Sonde SA3;18/04/2024  13h00;11.9°C;15°C;21,4;0,2;21,6
Sonde SA1;18/04/2024  14h00;12.2°C;14,7°C;21,3;21,3;21,4
Sonde SA3;18/04/2024  14h00;12.2°C;15°C;21,5;0,2;21,6
Sonde SA1;18/04/2024  15h00;12.6°C;14,9°C;21,3;21,3;21,4
Sonde SA3;18/04/2024  15h00;12.6°C;15°C;21,5;0,2;21,6
Sonde SA1;18/04/2024  16h00;12.7°C;15,1°C;21,3;21,3;21,3
Sonde SA3;18/04/2024  16h00;12.7°C;15,1°C;21,5;0,2;21,6
Sonde SA1;18/04/2024  17h00;12.8°C;15,2°C;21,3;21,3;21,4
Sonde SA3;18/04/2024  17h00;12.8°C;15,1°C;21,5;0,2;21,5
Sonde SA1;18/04/2024  18h00;13°C;15,1°C;21,4;21,4;21,5
Sonde SA3;18/04/2024  18h00;13°C;15,1°C;21,5;0,2;21,5
Sonde SA1;18/04/2024  19h00;12.6°C;14,9°C;21,4;21,4;21,4
Sonde SA3;18/04/2024  19h00;12.6°C;15,1°C;21,5;0,2;21,5
Sonde SA1;18/04/2024  20h00;12°C;14,8°C;21,4;21,4;21,4
Sonde SA3;18/04/2024  20h00;12°C;15°C;21,5;0,2;21,5
Sonde SA1;18/04/2024  21h00;11.6°C;14,8°C;21,4;21,4;21,4
Sonde SA3;18/04/2024  21h00;11.6°C;15°C;21,5;0,2;21,5
Sonde SA1;18/04/2024  22h00;11.2°C;14,8°C;21,4;21,4;21,4
Sonde SA3;18/04/2024  22h00;11.2°C;14,9°C;21,4;0,2;21,5
Sonde SA1;18/04/2024  23h00;10.8°C;14,9°C;21,4;21,4;21,4
Sonde SA3;18/04/2024  23h00;10.8°C;14,9°C;21,4;0,2;21,5
Sonde SA1;19/04/2024  02h00;9.7°C;14,6°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  02h00;9.7°C;14,7°C;21,5;0,2;21,5
Sonde SA1;19/04/2024  03h00;9.3°C;14,6°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  03h00;9.3°C;14,6°C;21,6;0,2;21,6
Sonde SA1;19/04/2024  04h00;9.3°C;14,5°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  04h00;9.3°C;14,5°C;21,5;0,2;21,5
Sonde SA1;19/04/2024  05h00;9.1°C;14,4°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  05h00;9.1°C;14,4°C;21,4;0,2;21,5
Sonde SA1;19/04/2024  06h00;8.8°C;14,4°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  06h00;8.8°C;14,5°C;21,4;0,2;21,5
Sonde SA1;19/04/2024  07h00;8.8°C;14,4°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  07h00;8.8°C;14,5°C;21,4;0,2;21,9
Sonde SA1;19/04/2024  08h00;9.4°C;14,3°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  08h00;9.4°C;14,5°C;21,4;0,2;21,9
Sonde SA1;19/04/2024  09h00;10.2°C;14,3°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  09h00;10.2°C;14,5°C;21,3;0,2;22,2
Sonde SA1;19/04/2024  10h00;11.7°C;14,4°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  10h00;11.7°C;14,5°C;21,3;0,2;22,2
Sonde SA1;19/04/2024  11h00;13°C;14,4°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  11h00;13°C;14,6°C;21,3;0,2;22,5
Sonde SA1;19/04/2024  12h00;14.1°C;14,5°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  12h00;14.1°C;14,6°C;21,4;0,2;21,9
Sonde SA1;19/04/2024  13h00;15°C;14,5°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  13h00;15°C;14,7°C;21,5;0,2;21,8
Sonde SA1;19/04/2024  14h00;15.8°C;14,5°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  14h00;15.8°C;14,7°C;21,5;0,2;21,7
Sonde SA1;19/04/2024  15h00;16.2°C;14,5°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  15h00;16.2°C;14,7°C;21,6;0,2;21,8
Sonde SA1;19/04/2024  16h00;16.9°C;14,4°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  16h00;16.9°C;14,8°C;21,6;0,2;21,8
Sonde SA1;19/04/2024  17h00;17.5°C;14,6°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  17h00;17.5°C;14,9°C;21,6;0,2;21,8
Sonde SA1;19/04/2024  18h00;17.3°C;14,6°C;21,4;21,4;21,6
Sonde SA3;19/04/2024  18h00;17.3°C;14,8°C;21,5;0,2;21,7
Sonde SA1;19/04/2024  19h00;17.4°C;14,6°C;21,4;21,4;21,7
Sonde SA3;19/04/2024  19h00;17.4°C;14,7°C;21,5;0,2;21,8
Sonde SA1;19/04/2024  20h00;16.6°C;14,6°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  20h00;16.6°C;14,7°C;21,5;0,2;21,8
Sonde SA1;19/04/2024  21h00;14°C;14,5°C;21,4;21,4;21,5
Sonde SA3;19/04/2024  21h00;14°C;14,6°C;21,6;0,2;21,7
Sonde SA1;19/04/2024  22h00;13.6°C;14,5°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  22h00;13.6°C;14,5°C;21,6;0,2;21,7
Sonde SA1;19/04/2024  23h00;13.1°C;14,4°C;21,4;21,4;21,4
Sonde SA3;19/04/2024  23h00;13.1°C;14,5°C;21,6;0,2;21,7
Sonde SA1;20/04/2024  02h00;12.1°C;14,3°C;21,4;21,4;21,4
Sonde SA3;20/04/2024  02h00;12.1°C;14,5°C;21,6;0,2;21,7
Sonde SA1;20/04/2024  03h00;11.4°C;14,3°C;21,4;21,4;21,5
Sonde SA3;20/04/2024  03h00;11.4°C;14,4°C;21,6;0,2;21,6
Sonde SA1;20/04/2024  04h00;12.2°C;14,2°C;21,4;21,4;21,5
Sonde SA3;20/04/2024  04h00;12.2°C;14,4°C;21,6;0,2;21,6
Sonde SA1;20/04/2024  05h00;13.4°C;14,2°C;21,4;21,4;21,5
Sonde SA3;20/04/2024  05h00;13.4°C;14,4°C;21,6;0,2;21,6
Sonde SA1;20/04/2024  06h00;13.3°C;14,1°C;21,4;21,4;21,5
Sonde SA3;20/04/2024  06h00;13.3°C;14,4°C;21,6;0,2;21,6
Sonde SA1;20/04/2024  07h00;12.6°C;14,1°C;21,4;21,4;21,5
Sonde SA3;20/04/2024  07h00;12.6°C;14,3°C;21,6;0,2;21,6
Sonde SA1;20/04/2024  08h00;12.3°C;14,1°C;21,4;21,4;21,5
Sonde SA3;20/04/2024  08h00;12.3°C;14,3°C;21,6;0,2;21,6
Sonde SA1;20/04/2024  09h00;12.7°C;14,1°C;21,5;21,4;21,5
Sonde SA3;20/04/2024  09h00;12.7°C;14,4°C;21,6;0,2;21,9
Sonde SA1;20/04/2024  10h00;13.5°C;14,1°C;21,5;21,4;21,5
Sonde SA3;20/04/2024  10h00;13.5°C;14,4°C;21,6;0,2;21,8
Sonde SA1;20/04/2024  11h00;13.2°C;14,2°C;21,4;21,4;21,5
Sonde SA3;20/04/2024  11h00;13.2°C;14,4°C;21,7;0,2;21,8
Sonde SA1;20/04/2024  12h00;12.9°C;14,2°C;21,4;21,4;21,4
Sonde SA3;20/04/2024  12h00;12.9°C;14,4°C;21,7;0,2;22
Sonde SA1;20/04/2024  13h00;12.5°C;14°C;21,1;21,1;21,1
Sonde SA3;20/04/2024  13h00;12.5°C;14,4°C;21,8;0,2;22
Sonde SA1;20/04/2024  14h00;12.5°C;14,1°C;21,1;21,1;21,2
Sonde SA3;20/04/2024  14h00;12.5°C;14,4°C;21,9;0,2;21,9
Sonde SA1;20/04/2024  15h00;13.2°C;14,4°C;21,3;21,3;21,3
Sonde SA3;20/04/2024  15h00;13.2°C;14,5°C;21,9;0,2;22
Sonde SA1;20/04/2024  16h00;13.5°C;14,4°C;21,4;21,4;21,4
Sonde SA3;20/04/2024  16h00;13.5°C;14,5°C;22;0,2;22
Sonde SA1;20/04/2024  17h00;13.6°C;14,4°C;21,5;21,4;21,5
Sonde SA3;20/04/2024  17h00;13.6°C;14,5°C;22,1;0,2;22,1
Sonde SA1;20/04/2024  18h00;13.6°C;14,4°C;21,6;21,6;21,6
Sonde SA3;20/04/2024  18h00;13.6°C;14,4°C;22,1;0,2;22,2
Sonde SA1;20/04/2024  19h00;13.5°C;14,3°C;21,7;21,6;21,7
Sonde SA3;20/04/2024  19h00;13.5°C;14,4°C;22,2;0,2;22,2
Sonde SA1;20/04/2024  20h00;13°C;14,3°C;21,7;21,7;21,8
Sonde SA3;20/04/2024  20h00;13°C;14,3°C;22,2;0,2;22,2
Sonde SA1;20/04/2024  21h00;12.5°C;14,2°C;21,7;21,7;21,7
Sonde SA3;20/04/2024  21h00;12.5°C;14,2°C;22,2;0,2;22,2
Sonde SA1;20/04/2024  22h00;12.1°C;14,1°C;21,7;21,7;21,7
Sonde SA3;20/04/2024  22h00;12.1°C;14,2°C;22,2;0,2;22,2
Sonde SA1;20/04/2024  23h00;11.8°C;14°C;21,7;21,7;21,7
Sonde SA3;20/04/2024  23h00;11.8°C;14,1°C;22,2;0,2;22,2
Sonde SA1;21/04/2024  02h00;9.9°C;13,7°C;21,4;21,5;21,7
Sonde SA3;21/04/2024  02h00;9.9°C;14°C;22,2;0,2;22,2
Sonde SA1;21/04/2024  03h00;9.2°C;13,7°C;21,4;21,5;21,6
Sonde SA3;21/04/2024  03h00;9.2°C;14°C;22,2;0,2;22,2
Sonde SA1;21/04/2024  04h00;8.8°C;13,6°C;21,4;21,4;21,6
Sonde SA3;21/04/2024  04h00;8.8°C;13,9°C;22,2;0,2;22,2
Sonde SA1;21/04/2024  05h00;8.3°C;13,6°C;21,4;21,4;21,6
Sonde SA3;21/04/2024  05h00;8.3°C;13,9°C;22,1;0,2;22,1
Sonde SA1;21/04/2024  06h00;7.9°C;13,6°C;21,4;21,5;21,6
Sonde SA3;21/04/2024  06h00;7.9°C;13,8°C;22,1;0,2;22,1
Sonde SA1;21/04/2024  07h00;7.4°C;13,5°C;21,4;21,4;21,6
Sonde SA3;21/04/2024  07h00;7.4°C;13,8°C;22,1;0,2;22,1
Sonde SA1;21/04/2024  08h00;8°C;13,6°C;21,4;21,4;21,5
Sonde SA3;21/04/2024  08h00;8°C;13,4°C;21,9;0,2;22
Sonde SA1;21/04/2024  09h00;9.2°C;13,6°C;21,4;21,4;21,7
Sonde SA3;21/04/2024  09h00;9.2°C;13,5°C;21,8;0,2;22,6
Sonde SA1;21/04/2024  10h00;10.7°C;13,7°C;21,4;21,4;21,7
Sonde SA3;21/04/2024  10h00;10.7°C;13,6°C;21,7;0,2;23,1
